"text_entry","spec","spore_type","measure_orig","Dimension_1","Dimension_2","Dimension_3","Mean_Dim1","Mean_Dim2"
"Ascospores (sub)hyaline, ellipsoidal, usually with two droplets, 5.5-7.0 x 3.0-4.5 µm,","Magnusiomyces ovetensis_220068","Ascospores","5.5-7.0 x 3.0-4.5","5.5-7.0","3.0-4.5",NA,6.25,3.75
"Ascospores hyaline, smooth-walled, broadly ellipsoidal, 6-7 x 4-5 µm,","Magnusiomyces tetrasperma_312350","Ascospores","6-7 x 4-5","6-7","4-5",NA,6.5,4.5
"Ascospores subhyaline, ellipsoidal to short-cylindrical, 8.5-11.0 x 5.0-6.5 µm,","Magnusiomyces magnusii_312351","Ascospores","8.5-11.0 x 5.0-6.5","8.5-11.0","5.0-6.5",NA,9.75,5.75
"Ascospores subhyaline, broadly ellipsoidal to subcylindrical, when in ascus with two droplets, 6-7 x 4.5 µm,","Magnusiomyces spicifer_312361","Ascospores","6-7 x 4.5","6-7","4.5",NA,6.5,4.5
"Ascospores (sub)hyaline, ellipsoidal, usually with two droplets, 5.5-6.5 x 2.5-3.2 µm,","Magnusiomyces capitatus_124584","Ascospores","5.5-6.5 x 2.5-3.2","5.5-6.5","2.5-3.2",NA,6,2.85
"Ascospores (sub)hyaline, ellipsoidal, usually with two droplets, 5.5-7.0 x 3.0-4.5 µm,","Magnusiomyces ingens_312360","Ascospores","5.5-7.0 x 3.0-4.5","5.5-7.0","3.0-4.5",NA,6.25,3.75
"Ascospores are smooth, oblate with polar boss, light brown, measuring 3-3.5 ´ 1.5-2 µm.","Arachnomyces glareosus_117262","Ascospores","3-3.5  x  1.5-2","3-3.5","1.5-2",NA,3.25,1.75
"Ascospores (Figs 3, 4) 8/ascus, pale brown, torpedo-shaped, 2-septate with both septa in close proximity near the middle of the ascospore, 12-15-4-5 µm,","Funiliomyces biseptatus_50912","Ascospores","12-15 x 4-5","12-15","4-5",NA,13.5,4.5
"Ascospores uniseriate, overlapping, fusiform, rarely ellipsoidal, often acute at one end and rounded at the other, 23.0-37.0 x 6.0-7.0 µm,","Phyllachora peltaticola_414040","Ascospores","23.0-37.0 x 6.0-7.0","23.0-37.0","6.0-7.0",NA,30,6.5
"Ascospores biseriate, elongate-allantoid, thin-walled, hyaline, aseptate, 7.5-8 ´ 2 µm.","Valsa cinereostroma_374085","Ascospores","7.5-8 ´ 2","7.5-8",NA,NA,7.75,7.75
"Ascospores biseriate, elongate allantoid, thin-walled, hyaline, aseptate (6-)7-8.5 ´ 1.5 µm.
Anamorph","Valsa fabianae_374086","Ascospores","(6-)7-8.5 ´ 1.5","7-8.5",NA,NA,7.75,7.75
"Ascospores biseriate, elongate allantoid, thin-walled, hyaline, aseptate, 4-5.5 ´ 1-1.5 µm.","Valsa brevispora_374084","Ascospores","4-5.5  x  1-1.5","4-5.5","1-1.5",NA,4.75,1.25
"Ascospores biseriate, thin-walled, hyaline, allantoid, aseptate (5-)6(-7) ´ 1.2 µm.
Anamorph","Valsa myrtagena_374087","Ascospores","(5-)6(-7)  x  1.2","6","1.2",NA,6,1.2
"Ascospores medianly 1-septate, ellipsoidal to oblong ellipsoidal, somewhat tapering towards both ends, smooth to finely warted, (7-)9-11(-14) ´ (2.5-)3-3.5(-4) µm.","Neonectria liriodendri_414694","Ascospores","(7-)9-11(-14)  x  (2.5-)3-3.5(-4)","9-11","3-3.5",NA,10,3.25
"ascospores of this species.
Ascomata immersed beneath slightly raised, dome-shaped, purplish pigmented host surface, with black ostiolar dot, 214-329 µm","Anthostomella birima_416163","ascospores","214-329","214-329",NA,NA,271.5,271.5
"Ascospores fusiform to ellipsoidal tapering to rounded ends, 11.2-17.4 x 5-6.8 µm","Anthostomella birima_416163","Ascospores","11.2-17.4 x 5-6.8","11.2-17.4","5-6.8",NA,14.3,5.9
"Ascospores apiosporous, 10-16 x 3-6 µm","Anthostomella clypeosa_416164","Ascospores","10-16 x 3-6","10-16","3-6",NA,13,4.5
"ascospores of this species.
Ascomata immersed beneath unpigmented host surface, visible as small, black ostiolar dots, 72-143 µm","Anthostomella notabilis_416165","ascospores","72-143","72-143",NA,NA,107.5,107.5
"Ascospores inequilaterally ellipsoidal to fusiform, 13.6-19 x 4.4-7 µm","Anthostomella notabilis_416165","Ascospores","13.6-19 x 4.4-7","13.6-19","4.4-7",NA,16.3,5.7
"Ascospores equilaterally fusiform, tapering to apices, 12-17 x 4-5.6 µm","Anthostomella xuanenensis_416166","Ascospores","12-17 x 4-5.6","12-17","4-5.6",NA,14.5,4.8
"Ascospores apiosporous, 18-20 x 5-9 µm","Apioclypea cocoicola_416160","Ascospores","18-20 x 5-9","18-20","5-9",NA,19,7
"ascospores in this species. 
Ascomata visible as black, conical dots, 171-472 µm","Apioclypea nonapiospora_416161","ascospores","171-472","171-472",NA,NA,321.5,321.5
"Ascospores equilaterally fusiform tapering to narrow rounded apices, 16-24 x 5.4-8 µm","Apioclypea nonapiospora_416161","Ascospores","16-24 x 5.4-8","16-24","5.4-8",NA,20,6.7
"ascospores in this species. 
Ascomata visible as black, conical dots, 171-472 µm","Apioclypea nonapiospora_416161","ascospores","171-472","171-472",NA,NA,321.5,321.5
"Ascospores equilaterally fusiform tapering to narrow rounded apices, 16-24 x 5.4-8 µm","Apioclypea nonapiospora_416161","Ascospores","16-24 x 5.4-8","16-24","5.4-8",NA,20,6.7
"Ascospores inequilaterally ellipsoidal, 12-16 x 6-8 µm,","Astrocystis sinensis_416167","Ascospores","12-16 x 6-8","12-16","6-8",NA,14,7
"Ascospores 28-39 x 12-18 µm","Botryosphaeria archontophoenicis_416158","Ascospores","28-39 x 12-18","28-39","12-18",NA,33.5,15
"ascospores of this species. 
Ascomata semi-immersed, erumpent not raising the host surface, 200-357 µm","Botryosphaeria brunneispora_416159","ascospores","200-357","200-357",NA,NA,278.5,278.5
"Ascospores 30-42 (-50) x (9-) 11-16 µm","Botryosphaeria brunneispora_416159","Ascospores","30-42 (-50) x (9-) 11-16","30-42","11-16",NA,36,13.5
"Ascospores fusiform to navicular, 9-14 x 3-4 µm","Capsulospora trachycarpa_416169","Ascospores","9-14 x 3-4","9-14","3-4",NA,11.5,3.5
"Ascospores fusiform with obtuse apices, 9-12 (-14) x 3-4 µm","Diaporthe palmarum_416174","Ascospores","9-12 (-14) x 3-4","9-12","3-4",NA,10.5,3.5
"Ascospores fusiform, tapering to obtuse apices, 23-32-5-7 µm,","Hydropisphaera ciliata_416157","Ascospores","23-32 x 5-7","23-32","5-7",NA,27.5,6
"Ascospores filiform, 88-107 x 2-2.8 µm","Linocarpon luteocollum_416175","Ascospores","88-107 x 2-2.8","88-107","2-2.8",NA,97.5,2.4
"Ascospores broadly fusiform to ellipsoidal, tapering to obtuse apices, 52-70 x 22-30 µm","Massarina grandispora_416176","Ascospores","52-70 x 22-30","52-70","22-30",NA,61,26
"Ascospores ellipsoid to ovoid with obtuse apices, 18-24 x 9.8-13 µm","Muyocopron hongkongense_416177","Ascospores","18-24 x 9.8-13","18-24","9.8-13",NA,21,11.4
"Ascospores filiform, 56-68 x 2.6-3.8 µm","Oxydothis ianei_416178","Ascospores","56-68 x 2.6-3.8","56-68","2.6-3.8",NA,62,3.2
"Ascospores filiform, 56-68 x 2.6-3.8 µm","Oxydothis iani_416191","Ascospores","56-68 x 2.6-3.8","56-68","2.6-3.8",NA,62,3.2
"Ascospores filiform, 98-160 x 2.8-4 µm","Palmicola bipolaris_416179","Ascospores","98-160 x 2.8-4","98-160","2.8-4",NA,129,3.4
"Ascospores narrowly fusiform tapering to rounded apices, 10.4-18 (-22) x 3-4.4 µm","Phomatospora archontophoenicis_416183","Ascospores","10.4-18 (-22) x 3-4.4","10.4-18","3-4.4",NA,14.2,3.7
"Ascospores fusiform to cylindrical with rounded apices, 9-15 x 3.6-5 µm","Sorokina frondicola_416186","Ascospores","9-15 x 3.6-5","9-15","3.6-5",NA,12,4.3
"Ascospores filiform, 71-120 x 2.4-3.2 µm","Stictis ecclesiensis_416187","Ascospores","71-120 x 2.4-3.2","71-120","2.4-3.2",NA,95.5,2.8
"ascospores of this species.
Ascomata clustered beneath raised, non-erumpent, often slightly pigmented, blister-like areas of the host substrate, 356-1373 µm","Tribulatia appendicospora_416188","ascospores","356-1373","356-1373",NA,NA,864.5,864.5
"Ascospores fusiform, tapering slightly to rounded ends, 15.6-20 x 3-4 µm","Tribulatia appendicospora_416188","Ascospores","15.6-20 x 3-4","15.6-20","3-4",NA,17.8,3.5
"Ascospores inequilaterally ellipsoidal, 11-14 x 4.2-5.8 µm","Xylaria queenslandica_416190","Ascospores","11-14 x 4.2-5.8","11-14","4.2-5.8",NA,12.5,5
"Ascospores inequilateral narrowly elliptical to slightly fusoid, light to medium brown, smooth, 23-27 x 6-7 µm,","Annulohypoxylon thouarsianum_424369","Ascospores","23-27 x 6-7","23-27","6-7",NA,25,6.5
"Ascospores biseriate, more or less medianly septate, constricted at the septum, colourless, straight or slightly curved, 16-28 x 4,5-6 µm.","Davidiella populorum_424966","Ascospores","16-28 x 4,5-6","16-28","4.5-6",NA,22,5.25
"Ascospores cylindrical, 1-septate in the middle, upper cell slight larger when mature, constricted, hyaline, smooth, 16.0-20.0 x 6.0-7.0 µm,","Caudella bipolaris_424676","Ascospores","16.0-20.0 x 6.0-7.0","16.0-20.0","6.0-7.0",NA,18,6.5
"ascospores poles, bearing bipolar bifurcate appendages on fresh material, rarely observed on dried material. Appendages filiform, flexuous, hyaline, 2.5-4.0 µm.","Caudella bipolaris_424676","ascospores","2.5-4.0","2.5-4.0",NA,NA,3.25,3.25
"ascospores broadly ellipsoid-ovoid, (15-)18-25(-30) x 12-17 µm,","Neoerysiphe rubiae_425482","ascospores","(15-)18-25(-30) x 12-17","18-25","12-17",NA,21.5,14.5
"Ascospores aseptate, hyaline, reniform to oblong-ellipsoidal with rounded ends, often containing small guttules at the ends, biseriate, 3-5 x 1.5-2 (av. 4 x 2) µm.
","Togninia austroafricana_414681","Ascospores",". 4 x 2)","4","2",NA,4,2
"Ascospores aseptate, hyaline, allantoid to oblong-ellipsoidal with rounded ends, sometimes containing small guttules at the ends, biseriate, 4-5(-6) x 1-1.5 µm","Togninia krajdenii_414682","Ascospores","4-5(-6) x 1-1.5","4-5","1-1.5",NA,4.5,1.25
"Ascospores aseptate, hyaline, allantoid with rounded ends, sometimes containing small guttules at the ends, biseriate, 4-5 x 1-1.5 (av. 4.5 x 1 µm).
","Togninia parasitica_414684","Ascospores",". 4.5 x 1","4.5","1",NA,4.5,1
"Ascospores aseptate, hyaline, mostly allantoid or cylindrical with rounded ends, sometimes containing small guttules at the ends, biseriate, 4-6 x 1-1.5 (av. 5 x 1) µm.
","Togninia rubrigena_414685","Ascospores",". 5 x 1)","5","1",NA,5,1
"Ascospores aseptate, hyaline, oblong-ellipsoidal to reniform with rounded ends, sometimes containing small guttules at the ends, biseriate or in a single row, 3-5 x 1.5-2(-2.5) (av. 4 x 2) µm.","Togninia viticola_414686","Ascospores",". 4 x 2)","4","2",NA,4,2
"Ascospores 0(-1)-septate, hyaline, oblong-ellipsoidal to slightly curved, smooth, biseriate, 7-10 x 2 (av. 9 x 2) µm.
Substrate:","Calosphaeria rhododendri_425556","Ascospores",". 9 x 2)","9","2",NA,9,2
"Ascospores 0-1-septate, subhyaline, oblong-ellipsoidal, smooth, small guttulate, biseriate, 8-10(-11) x 1.5-2 (av. 8.5 x 1.5) µm.
Substrate:","Calosphaeria transversa_425557","Ascospores",". 8.5 x 1.5)","8.5","1.5",NA,8.5,1.5
"Ascospores 0(-3)-septate, hyaline, allantoid or oblong-ellipsoid, smooth, biseriate when young, becoming crowded in the ascus, 8-11(-12) x (1-)1.5-2 (av. 9 x 2) µm.","Jattaea villosa_425558","Ascospores",". 9 x 2)","9","2",NA,9,2
"Ascospores aseptate, hyaline, oblong-ellipsoidal to cylindrical with rounded ends, sometimes containing small guttules at the ends, biseriate, 3-4 x 1-1.5 (av. 4 x 1) µm.
","Togninia argentinensis_414680","Ascospores",". 4 x 1)","4","1",NA,4,1
"Ascospores (4-)6-7(-8), most, ovoid or ellipsoid, yellowish, 16.5-23-10-14 (average 20-11) µm.","Erysiphe chifengensis_425764","Ascospores","20-11)","20-11",NA,NA,15.5,15.5
"Ascospores fasciculate, 47-80 x 1.5-3 µm,","Davisomycella intermedia_425801","Ascospores","47-80 x 1.5-3","47-80","1.5-3",NA,63.5,2.25
"Ascospores mainly ovoid-ellipsoid, ellipsoid, 15-25(-28) x 10-17(-19) µm,","Erysiphe arcuata_425810","Ascospores","15-25(-28) x 10-17(-19)","15-25","10-17",NA,20,13.5
"Ascospores broadly ellipsoid-ovoid, 13-20 x 7-12 µm,","Erysiphe carpini-laxiflorae_425811","Ascospores","13-20 x 7-12","13-20","7-12",NA,16.5,9.5
"Ascospores irregularly arranged inside the asci, hyaline at first but becoming brown to dark brown on maturity, ellipsoidal, apiculate, single celled, smooth-walled, with two apical germ pores, 6-7 x 3-3.5 µm;","Vittatispora coorgii_425912","Ascospores","6-7 x 3-3.5","6-7","3-3.5",NA,6.5,3.25
"ascospores arranged linearly. The unitunicate wall of the ascus was difficult to see upon maturity, and the ascus wall was very fragile and evanescent. Mature asci measured 53-142 µm","Glomerella truncata_425952","ascospores","53-142","53-142",NA,NA,97.5,97.5
"Ascospores were hyaline, aseptate, oblong, and 12-20 µm","Glomerella truncata_425952","Ascospores","12-20","12-20",NA,NA,16,16
"Ascospores overlapping and distichously arrange in the asci, elongate-ellipsoid with somewhat attenuated apices (appearing more rounded in KOH), hyaline, 1-septate, not or scarely constricted at the septum, the cells almost equal in size, smooth-walled, without an evident gelatinous perispore, (12.5-)13-16.5 x 5-6.5 µm","Stigmidium johnii_426041","Ascospores","(12.5-)13-16.5 x 5-6.5","13-16.5","5-6.5",NA,14.75,5.75
"Ascospores irregularly biseriately arranged in the ascus, broadly ellipsoid, rounded to somewhat broadly pointed at the apices, muriform, with 5(-6) transsepta and 2-4 of the central cells with a single longiseptum, no longiseptum seen in the apical cells, often slightly constricted at the median septum, red-brown, smooth, lacking a conspicuous gelatinous sheath, (19-)21.5-26 x 8-9 µm,","Dacampia peltigericola_426042","Ascospores","(19-)21.5-26 x 8-9","21.5-26","8-9",NA,23.75,8.5
"Ascospores  broadly ellipsoid, rounded at the apices, smooth-walled, hyaline, 1-septate,  the septum usually median, (14-)14.5-18(-22.5) x 5.5-8 µm,","Nectriopsis physciicola_426043","Ascospores","(14-)14.5-18(-22.5) x 5.5-8","14.5-18","5.5-8",NA,16.25,6.75
"Ascospores brown, oblong, obtuse, 4-septate, slightly constricted at septae, 47-61.5 x 12-19.5 µm,","Meliola thalliformis var. major_426134","Ascospores","47-61.5 x 12-19.5","47-61.5","12-19.5",NA,54.25,15.75
"Ascospores bi-to triseriate,overlapping, hyaline, guttulate, thick-walled, straight to slightly curved,fusoid-ellipsoidal with subobtuse ends, medianly 1-septate, widest at themiddle of the apical cell, slightly constricted at the septum, tapering towardsboth ends but more prominently towards lower end, 9-11 x 2-3 µm","Mycosphaerella obscuris_430714","Ascospores","9-11 x 2-3","9-11","2-3",NA,10,2.5
"Ascospores bi-seriate to tri-seriate, overlapping, hyaline, non-guttulate, thick-walled, straight to slightly curved, fusoid-ellipsoidal with obtuse ends, medianly or unequally 1-septate, widest at the middle or near the apex of the apical cell, not or slightly constricted at the septum, tapering towards both ends but more prominently towards lower end, (9.5)10-12.5 x (2)2.5-3 (3.5)µm","Mycosphaerella yunnanensis_426268","Ascospores","(9.5)10-12.5 x (2)2.5-3 (3.5)","10-12.5","2.5-3",NA,11.25,2.75
"Ascospores 2-3-seriate, overlapping, narrowly clavate to fusoid-ellipsoidal, straight to slightly curved, hyaline, basal end obtuse, apical end prominently tapered, apical cell occasionally asymmetrical, widest at midpoint of apical cell, medianly 1-septate, not constricted at septum or slightly so, 15-19 x 4.5-5.5 µm.","Mycosphaerella tumulosa_426291","Ascospores","15-19 x 4.5-5.5","15-19","4.5-5.5",NA,17,5
"ascospores do not darken or become distorted but become prominently constricted; length of ascospore plus both germ tubes after 24 h (96-)130-150(-165) µm.","Mycosphaerella tumulosa_426291","ascospores","(96-)130-150(-165)","130-150",NA,NA,140,140
"ascospores also had started to produce up to two secondary germ tubes, which emanated obliquely from the basal or apical cell or from either germ tube. At 36 h most ascospores had produced two or three secondary germ tubes and were distorted, and the length of the ascospore plus original germ tubes was mostly greater than 178 µm.","Mycosphaerella tumulosa_426291","ascospores","178","178",NA,NA,178,178
"ascospores had produced two or three secondary germ tubes and were distorted, and the length of the ascospore plus original germ tubes was mostly greater than 178 µm.","Mycosphaerella tumulosa_426291","ascospores","178","178",NA,NA,178,178
"Ascospores 2-3-seriate, fusoid with obtuse ends, slightly tapered to basal end, slightly constricted or not so, widest in middle of apical cell, straight, (10.5-)11.5-13.5(-14.5) x 3-4 µm.","Mycosphaerella pseudovespa_426292","Ascospores","(10.5-)11.5-13.5(-14.5) x 3-4","11.5-13.5","3-4",NA,12.5,3.5
"Ascospores 2-3-seriate, overlapping, hyaline, straight, rarely curved, narrowly obovoid to fusiform with obtuse ends, medianly or unequally 1-septate, widest in middle of apical cell, mostly not constricted at septum, tapering to basal end, (12.5-)13.5-17(-19) x (3-)3.5-4.5 (-5) µm.","Mycosphaerella multiseptata_426293","Ascospores","(12.5-)13.5-17(-19) x (3-)3.5-4.5 (-5)","13.5-17","3.5-4.5",NA,15.25,4
"h.-Ascospores germinating from both ends, with germ tubes parallel to the long axis of the spore, spore body becoming 2-3-septate, spore darkening and becoming distorted with a prominent constriction at the ascospore septum; even though relatively short, germ tubes have many septa, occasionally producing secondary germ tubes; length of ascospore and germ tubes after 24 h (38-)58-71(-81) µm.","Mycosphaerella multiseptata_426293","h.-Ascospores","(38-)58-71(-81)","58-71",NA,NA,64.5,64.5
"Ascospores bi-to multiseriate, overlapping, narrowly clavate, with obtuse ends, tapering toward basal end, not constricted at median septum or only slightly so, widest in middle of apical cell, hyaline, 15-18 x 3.5-5 µm.","Mycosphaerella syncarpiae_426315","Ascospores","15-18 x 3.5-5","15-18","3.5-5",NA,16.5,4.25
"ascospores obliquely uniseriate, hyaline at first but soon turning pale green to greenish brown and finally dark brown or black, smooth, without a sheath, ellipsoid-fusoid, mostly with rotational symmetry (Fig. 1 i, j), measuring 16-18-9.5-10.5 µm,","Coniochaeta ershadii_426437","ascospores","16-18 x 9.5-10.5","16-18","9.5-10.5",NA,17,10
"ascospores obliquely uniseriate, hyaline at first but soon turning pale green to greenish brown and finally dark brown or black, smooth, without a sheath, ellipsoid-fusoid, mostly with rotational symmetry (Fig. 1 i, j), measuring 16-18-9.5-10.5 µm,","Coniochaeta ershadii_426437","ascospores","16-18 x 9.5-10.5","16-18","9.5-10.5",NA,17,10
"ascospores (Fig. 1 h); ascospores exuded as a large globose mass at the mouth of the ostiole (Fig. 1 a).
Anamorph: Conidiogenous cells, produced predominantly on hyphal coils and also on aerial hyphae, simple, hyaline, variable in length, measuring 4-24-2-2.3 µm,","Coniochaeta ershadii_426437","ascospores","4-24 x 2-2.3","4-24","2-2.3",NA,14,2.15
